po_id,store_id,item_id,order_date,qty_ordered,expected_arrival_date,actual_arrival_date,status,supplier_id
10030,5,1,2017-11-19,100,2017-12-12,2017-12-13,Closed,4
10031,5,1,2017-11-05,100,2017-11-18,2017-11-19,Closed,1
10032,5,1,2017-10-22,1000,2017-11-01,2017-10-31,Closed,1
10033,5,1,2017-10-08,200,2017-10-23,2017-10-25,Closed,4
10034,6,1,2017-12-17,100,2018-01-05,2018-01-04,Closed,1
10035,6,1,2017-12-03,500,2017-12-27,2017-12-25,Closed,3
10036,6,1,2017-11-19,500,2017-12-06,2017-12-08,Closed,2
10037,6,1,2017-11-05,200,2017-11-22,2017-11-22,Closed,4
10038,6,1,2017-10-22,1000,2017-11-03,2017-11-06,Closed,1
10039,6,1,2017-10-08,500,2017-10-22,2017-10-25,Closed,2
10040,6,1,2017-12-28,200,2018-01-13,,Open,3
10041,7,1,2017-12-17,500,2017-12-28,2017-12-31,Closed,4
10042,7,1,2017-12-03,200,2017-12-16,2017-12-20,Closed,4
10043,7,1,2017-11-19,500,2017-12-12,2017-12-12,Closed,3
10044,7,1,2017-11-05,100,2017-11-22,2017-11-24,Closed,1
10045,7,1,2017-10-22,200,2017-11-11,2017-11-10,Closed,2
10046,7,1,2017-10-08,500,2017-10-25,2017-10-28,Closed,3
10047,7,1,2017-12-29,500,2018-01-16,,Open,1
10048,8,1,2017-12-17,1000,2017-12-29,2017-12-27,Closed,3
10049,8,1,2017-12-03,500,2017-12-13,2017-12-15,Closed,1
10050,8,1,2017-11-19,200,2017-12-02,2017-12-02,Closed,4
10051,8,1,2017-11-05,500,2017-11-21,2017-11-21,Closed,3
10052,8,1,2017-10-22,100,2017-11-06,2017-11-10,Closed,1
10053,8,1,2017-10-08,200,2017-10-23,2017-10-25,Closed,3
10054,9,1,2017-12-17,200,2017-12-31,2018-01-03,Closed,2
10055,9,1,2017-12-03,500,2017-12-24,2017-12-22,Closed,3
10056,9,1,2017-11-19,200,2017-12-06,2017-12-08,Closed,3
10057,9,1,2017-11-05,200,2017-11-26,2017-11-28,Closed,1
10058,9,1,2017-10-22,200,2017-11-05,2017-11-04,Closed,4
10059,9,1,2017-10-08,500,2017-10-30,2017-10-30,Closed,2
10060,10,1,2017-12-17,500,2018-01-02,2018-01-05,Closed,4
10061,10,1,2017-12-03,100,2017-12-14,2017-12-12,Closed,4
10062,10,1,2017-11-19,200,2017-11-29,2017-12-01,Closed,4
10063,10,1,2017-11-05,100,2017-11-21,2017-11-19,Closed,1
10064,10,1,2017-10-22,1000,2017-11-04,2017-11-06,Closed,2
10065,10,1,2017-10-08,100,2017-10-21,2017-10-20,Closed,2
10066,10,1,2017-12-22,500,2018-01-11,,Open,1
10067,1,2,2017-12-17,200,2017-12-31,2018-01-01,Closed,4
10068,1,2,2017-12-03,100,2017-12-20,2017-12-22,Closed,1
10069,1,2,2017-11-19,200,2017-12-12,2017-12-12,Closed,3
10070,1,2,2017-11-05,500,2017-11-25,2017-11-27,Closed,4
10071,1,2,2017-10-22,500,2017-11-09,2017-11-11,Closed,4
10072,1,2,2017-10-08,1000,2017-10-23,2017-10-25,Closed,2
10073,1,2,2017-12-25,500,2018-01-17,,Open,4
10074,2,2,2017-12-17,100,2018-01-01,2018-01-05,Closed,2
10075,2,2,2017-12-03,1000,2017-12-27,2017-12-27,Closed,1
10076,2,2,2017-11-19,100,2017-11-29,2017-11-27,Closed,4
10077,2,2,2017-11-05,200,2017-11-23,2017-11-25,Closed,1
10078,2,2,2017-10-22,100,2017-11-08,2017-11-11,Closed,1
10079,2,2,2017-10-08,100,2017-10-30,2017-10-29,Closed,1
10080,2,2,2017-12-29,500,2018-01-22,,Open,3
10081,3,2,2017-12-17,200,2017-12-27,2017-12-28,Closed,1
10082,3,2,2017-12-03,200,2017-12-19,2017-12-23,Closed,3
10083,3,2,2017-11-19,1000,2017-12-01,2017-12-04,Closed,2
10084,3,2,2017-11-05,100,2017-11-27,2017-11-26,Closed,2
10085,3,2,2017-10-22,1000,2017-11-03,2017-11-06,Closed,1
10086,3,2,2017-10-08,100,2017-10-21,2017-10-20,Closed,1
10087,3,2,2017-12-25,500,2018-01-16,,Open,2
10088,4,2,2017-12-17,1000,2018-01-08,2018-01-11,Closed,1
10089,4,2,2017-12-03,500,2017-12-13,2017-12-12,Closed,3
10090,4,2,2017-11-19,1000,2017-12-06,2017-12-05,Closed,3
10091,4,2,2017-11-05,100,2017-11-21,2017-11-23,Closed,2
10092,4,2,2017-10-22,100,2017-11-03,2017-11-01,Closed,4
10093,4,2,2017-10-08,200,2017-10-19,2017-10-17,Closed,2
10094,4,2,2017-12-28,200,2018-01-10,,Open,3
10095,5,2,2017-12-17,1000,2018-01-05,2018-01-07,Closed,3
10096,5,2,2017-12-03,1000,2017-12-26,2017-12-26,Closed,3
10097,5,2,2017-11-19,500,2017-12-13,2017-12-14,Closed,1
10098,5,2,2017-11-05,1000,2017-11-25,2017-11-28,Closed,3
10099,5,2,2017-10-22,100,2017-11-09,2017-11-12,Closed,1
10100,5,2,2017-10-08,500,2017-10-25,2017-10-27,Closed,2
10101,5,2,2017-12-26,200,2018-01-11,,Open,2
10102,6,2,2017-12-17,1000,2017-12-30,2017-12-28,Closed,1
10103,6,2,2017-12-03,500,2017-12-16,2017-12-18,Closed,2
10104,6,2,2017-11-19,200,2017-12-05,2017-12-08,Closed,1
10105,6,2,2017-11-05,200,2017-11-16,2017-11-17,Closed,4
10106,6,2,2017-10-22,1000,2017-11-10,2017-11-11,Closed,3
10107,6,2,2017-10-08,1000,2017-10-25,2017-10-28,Closed,1
10108,6,2,2017-12-25,500,2018-01-07,,Open,4
10109,7,2,2017-12-17,200,2018-01-10,2018-01-09,Closed,4
10110,7,2,2017-12-03,1000,2017-12-13,2017-12-15,Closed,3
10111,7,2,2017-11-19,500,2017-12-06,2017-12-10,Closed,4
10112,7,2,2017-11-05,100,2017-11-24,2017-11-27,Closed,3
10113,7,2,2017-10-22,500,2017-11-15,2017-11-15,Closed,1
10114,7,2,2017-10-08,500,2017-10-29,2017-10-30,Closed,2
10115,7,2,2017-12-27,500,2018-01-13,,Open,3
10116,8,2,2017-12-17,500,2018-01-10,2018-01-09,Closed,4
10117,8,2,2017-12-03,200,2017-12-16,2017-12-17,Closed,3
10118,8,2,2017-11-19,200,2017-12-10,2017-12-11,Closed,2
10119,8,2,2017-11-05,200,2017-11-29,2017-12-02,Closed,4
10120,8,2,2017-10-22,500,2017-11-09,2017-11-13,Closed,3
10121,8,2,2017-10-08,100,2017-10-19,2017-10-18,Closed,2
10122,9,2,2017-12-17,200,2018-01-01,2017-12-30,Closed,3
10123,9,2,2017-12-03,200,2017-12-25,2017-12-27,Closed,1
10124,9,2,2017-11-19,200,2017-12-12,2017-12-11,Closed,3
10125,9,2,2017-11-05,100,2017-11-15,2017-11-18,Closed,3
10126,9,2,2017-10-22,1000,2017-11-12,2017-11-16,Closed,2
10127,9,2,2017-10-08,1000,2017-10-27,2017-10-27,Closed,1
10128,9,2,2017-12-26,500,2018-01-15,,Open,1
10129,10,2,2017-12-17,200,2018-01-05,2018-01-08,Closed,2
10130,10,2,2017-12-03,500,2017-12-26,2017-12-26,Closed,3
10131,10,2,2017-11-19,100,2017-12-03,2017-12-06,Closed,4
10132,10,2,2017-11-05,1000,2017-11-21,2017-11-19,Closed,4
10133,10,2,2017-10-22,200,2017-11-12,2017-11-10,Closed,3
10134,10,2,2017-10-08,200,2017-10-25,2017-10-24,Closed,1
10135,10,2,2017-12-26,500,2018-01-10,,Open,4
10136,1,3,2017-12-17,1000,2018-01-02,2018-01-01,Closed,1
10137,1,3,2017-12-03,200,2017-12-19,2017-12-18,Closed,4
10138,1,3,2017-11-19,500,2017-12-03,2017-12-07,Closed,3
10139,1,3,2017-11-05,500,2017-11-25,2017-11-23,Closed,4
10140,1,3,2017-10-22,100,2017-11-08,2017-11-12,Closed,4
10141,1,3,2017-10-08,100,2017-10-27,2017-10-27,Closed,2
10142,1,3,2017-12-26,200,2018-01-12,,Open,2
10143,2,3,2017-12-17,1000,2017-12-28,2017-12-30,Closed,1
10144,2,3,2017-12-03,100,2017-12-20,2017-12-19,Closed,2
10145,2,3,2017-11-19,200,2017-12-12,2017-12-12,Closed,1
10146,2,3,2017-11-05,500,2017-11-20,2017-11-18,Closed,1
10147,2,3,2017-10-22,500,2017-11-09,2017-11-07,Closed,3
10148,2,3,2017-10-08,1000,2017-10-26,2017-10-24,Closed,3
10149,3,3,2017-12-17,1000,2018-01-03,2018-01-04,Closed,3
10150,3,3,2017-12-03,1000,2017-12-19,2017-12-20,Closed,2
10151,3,3,2017-11-19,200,2017-12-06,2017-12-05,Closed,1
10152,3,3,2017-11-05,100,2017-11-20,2017-11-23,Closed,4
10153,3,3,2017-10-22,1000,2017-11-03,2017-11-01,Closed,3
10154,3,3,2017-10-08,100,2017-10-27,2017-10-31,Closed,1
10155,3,3,2017-12-27,200,2018-01-19,,Open,3
10156,4,3,2017-12-17,200,2018-01-05,2018-01-04,Closed,1
10157,4,3,2017-12-03,1000,2017-12-21,2017-12-23,Closed,1
10158,4,3,2017-11-19,200,2017-12-08,2017-12-09,Closed,4
10159,4,3,2017-11-05,200,2017-11-15,2017-11-18,Closed,4
10160,4,3,2017-10-22,1000,2017-11-11,2017-11-14,Closed,2
10161,4,3,2017-10-08,200,2017-10-31,2017-10-30,Closed,1
10162,4,3,2017-12-25,200,2018-01-12,,Open,2
10163,5,3,2017-12-17,200,2018-01-03,2018-01-07,Closed,4
10164,5,3,2017-12-03,500,2017-12-15,2017-12-19,Closed,1
10165,5,3,2017-11-19,100,2017-12-08,2017-12-08,Closed,4
10166,5,3,2017-11-05,1000,2017-11-21,2017-11-25,Closed,2
10167,5,3,2017-10-22,500,2017-11-12,2017-11-12,Closed,2
10168,5,3,2017-10-08,1000,2017-10-26,2017-10-29,Closed,3
10169,6,3,2017-12-17,500,2017-12-29,2017-12-27,Closed,2
10170,6,3,2017-12-03,1000,2017-12-26,2017-12-24,Closed,4
10171,6,3,2017-11-19,1000,2017-12-11,2017-12-10,Closed,4
10172,6,3,2017-11-05,1000,2017-11-21,2017-11-25,Closed,3
10173,6,3,2017-10-22,100,2017-11-05,2017-11-09,Closed,1
10174,6,3,2017-10-08,200,2017-10-21,2017-10-25,Closed,3
10175,6,3,2017-12-22,200,2018-01-05,,Open,2
10176,7,3,2017-12-17,1000,2018-01-02,2018-01-05,Closed,1
10177,7,3,2017-12-03,500,2017-12-24,2017-12-28,Closed,1
10178,7,3,2017-11-19,100,2017-12-02,2017-12-06,Closed,4
10179,7,3,2017-11-05,1000,2017-11-25,2017-11-28,Closed,3
10180,7,3,2017-10-22,500,2017-11-15,2017-11-15,Closed,1
10181,7,3,2017-10-08,200,2017-10-25,2017-10-23,Closed,2
10182,7,3,2017-12-22,200,2018-01-06,,Open,1
10183,8,3,2017-12-17,200,2018-01-08,2018-01-07,Closed,4
10184,8,3,2017-12-03,1000,2017-12-21,2017-12-24,Closed,4
10185,8,3,2017-11-19,100,2017-12-05,2017-12-09,Closed,3
10186,8,3,2017-11-05,500,2017-11-27,2017-12-01,Closed,4
10187,8,3,2017-10-22,1000,2017-11-07,2017-11-10,Closed,4
10188,8,3,2017-10-08,100,2017-10-26,2017-10-26,Closed,3
10189,8,3,2017-12-26,500,2018-01-11,,Open,4
10190,9,3,2017-12-17,500,2018-01-05,2018-01-09,Closed,3
10191,9,3,2017-12-03,100,2017-12-23,2017-12-27,Closed,1
10192,9,3,2017-11-19,100,2017-12-06,2017-12-09,Closed,3
10193,9,3,2017-11-05,200,2017-11-29,2017-12-03,Closed,1
10194,9,3,2017-10-22,100,2017-11-14,2017-11-18,Closed,2
10195,9,3,2017-10-08,100,2017-10-26,2017-10-26,Closed,2
10196,9,3,2017-12-27,200,2018-01-07,,Open,4
10197,10,3,2017-12-17,1000,2017-12-28,2017-12-29,Closed,2
10198,10,3,2017-12-03,100,2017-12-16,2017-12-15,Closed,4
10199,10,3,2017-11-19,100,2017-12-12,2017-12-10,Closed,4
10200,10,3,2017-11-05,1000,2017-11-28,2017-11-29,Closed,4
10201,10,3,2017-10-22,200,2017-11-06,2017-11-07,Closed,1
10202,10,3,2017-10-08,500,2017-10-27,2017-10-28,Closed,4
10203,10,3,2017-12-27,500,2018-01-10,,Open,2
10204,1,4,2017-12-17,200,2018-01-04,2018-01-06,Closed,1
10205,1,4,2017-12-03,100,2017-12-18,2017-12-22,Closed,1
10206,1,4,2017-11-19,200,2017-12-10,2017-12-14,Closed,3
10207,1,4,2017-11-05,200,2017-11-29,2017-12-03,Closed,2
10208,1,4,2017-10-22,1000,2017-11-06,2017-11-06,Closed,2
10209,1,4,2017-10-08,200,2017-10-22,2017-10-20,Closed,4
10210,1,4,2017-12-26,200,2018-01-14,,Open,2
10211,2,4,2017-12-17,1000,2018-01-02,2018-01-01,Closed,2
10212,2,4,2017-12-03,200,2017-12-24,2017-12-27,Closed,2
10213,2,4,2017-11-19,500,2017-12-07,2017-12-11,Closed,1
10214,2,4,2017-11-05,200,2017-11-28,2017-11-29,Closed,3
10215,2,4,2017-10-22,500,2017-11-05,2017-11-07,Closed,1
10216,2,4,2017-10-08,1000,2017-10-19,2017-10-19,Closed,3
10217,3,4,2017-12-17,1000,2018-01-09,2018-01-07,Closed,1
10218,3,4,2017-12-03,500,2017-12-18,2017-12-22,Closed,4
10219,3,4,2017-11-19,100,2017-11-30,2017-11-30,Closed,4
10220,3,4,2017-11-05,1000,2017-11-21,2017-11-25,Closed,3
10221,3,4,2017-10-22,100,2017-11-04,2017-11-04,Closed,3
10222,3,4,2017-10-08,1000,2017-10-18,2017-10-19,Closed,3
10223,4,4,2017-12-17,1000,2017-12-31,2017-12-31,Closed,1
10224,4,4,2017-12-03,1000,2017-12-24,2017-12-24,Closed,4
10225,4,4,2017-11-19,200,2017-12-01,2017-12-01,Closed,3
10226,4,4,2017-11-05,200,2017-11-24,2017-11-25,Closed,1
10227,4,4,2017-10-22,100,2017-11-10,2017-11-09,Closed,1
10228,4,4,2017-10-08,1000,2017-10-27,2017-10-26,Closed,1
10229,4,4,2017-12-22,500,2018-01-11,,Open,3
10230,5,4,2017-12-17,100,2017-12-28,2017-12-31,Closed,1
10231,5,4,2017-12-03,500,2017-12-26,2017-12-26,Closed,1
10232,5,4,2017-11-19,100,2017-12-01,2017-12-02,Closed,1
10233,5,4,2017-11-05,500,2017-11-17,2017-11-15,Closed,1
10234,5,4,2017-10-22,200,2017-11-01,2017-11-05,Closed,2
10235,5,4,2017-10-08,500,2017-10-23,2017-10-21,Closed,4
10236,5,4,2017-12-26,200,2018-01-12,,Open,4
10237,6,4,2017-12-17,1000,2018-01-01,2018-01-03,Closed,1
10238,6,4,2017-12-03,1000,2017-12-17,2017-12-15,Closed,1
10239,6,4,2017-11-19,200,2017-11-29,2017-11-28,Closed,1
10240,6,4,2017-11-05,500,2017-11-27,2017-11-30,Closed,2
10241,6,4,2017-10-22,1000,2017-11-02,2017-10-31,Closed,2
10242,6,4,2017-10-08,1000,2017-10-23,2017-10-23,Closed,1
10243,6,4,2017-12-26,500,2018-01-10,,Open,3
10244,7,4,2017-12-17,100,2017-12-31,2018-01-01,Closed,4
10245,7,4,2017-12-03,1000,2017-12-18,2017-12-18,Closed,1
10246,7,4,2017-11-19,1000,2017-12-03,2017-12-04,Closed,4
10247,7,4,2017-11-05,200,2017-11-28,2017-11-30,Closed,3
10248,7,4,2017-10-22,100,2017-11-08,2017-11-11,Closed,2
10249,7,4,2017-10-08,500,2017-10-18,2017-10-21,Closed,2
10250,7,4,2017-12-29,200,2018-01-14,,Open,2
10251,8,4,2017-12-17,200,2018-01-09,2018-01-07,Closed,4
10252,8,4,2017-12-03,100,2017-12-23,2017-12-25,Closed,2
10253,8,4,2017-11-19,1000,2017-12-12,2017-12-11,Closed,3
10254,8,4,2017-11-05,1000,2017-11-19,2017-11-21,Closed,4
10255,8,4,2017-10-22,1000,2017-11-01,2017-11-01,Closed,4
10256,8,4,2017-10-08,1000,2017-10-18,2017-10-18,Closed,1
10257,9,4,2017-12-17,500,2018-01-01,2018-01-04,Closed,3
10258,9,4,2017-12-03,1000,2017-12-16,2017-12-16,Closed,1
10259,9,4,2017-11-19,100,2017-12-02,2017-12-03,Closed,4
10260,9,4,2017-11-05,1000,2017-11-17,2017-11-20,Closed,3
10261,9,4,2017-10-22,1000,2017-11-11,2017-11-14,Closed,4
10262,9,4,2017-10-08,100,2017-11-01,2017-11-02,Closed,3
10263,10,4,2017-12-17,200,2017-12-27,2017-12-28,Closed,1
10264,10,4,2017-12-03,1000,2017-12-24,2017-12-25,Closed,4
10265,10,4,2017-11-19,200,2017-11-29,2017-12-01,Closed,2
10266,10,4,2017-11-05,200,2017-11-15,2017-11-14,Closed,2
10267,10,4,2017-10-22,100,2017-11-04,2017-11-08,Closed,2
10268,10,4,2017-10-08,200,2017-10-27,2017-10-31,Closed,3
10269,10,4,2017-12-28,200,2018-01-17,,Open,1
10270,1,5,2017-12-17,100,2017-12-31,2017-12-31,Closed,3
10271,1,5,2017-12-03,100,2017-12-17,2017-12-18,Closed,2
10272,1,5,2017-11-19,1000,2017-12-05,2017-12-03,Closed,2
10273,1,5,2017-11-05,200,2017-11-21,2017-11-22,Closed,4
10274,1,5,2017-10-22,200,2017-11-09,2017-11-09,Closed,4
10275,1,5,2017-10-08,500,2017-11-01,2017-11-01,Closed,3
10276,1,5,2017-12-23,500,2018-01-09,,Open,4
10277,2,5,2017-12-17,500,2017-12-31,2017-12-29,Closed,1
10278,2,5,2017-12-03,500,2017-12-13,2017-12-16,Closed,1
10279,2,5,2017-11-19,200,2017-12-06,2017-12-08,Closed,4
10280,2,5,2017-11-05,200,2017-11-21,2017-11-23,Closed,1
10281,2,5,2017-10-22,1000,2017-11-06,2017-11-06,Closed,2
10282,2,5,2017-10-08,1000,2017-10-22,2017-10-20,Closed,4
10283,2,5,2017-12-27,500,2018-01-16,,Open,3
10284,3,5,2017-12-17,100,2017-12-27,2017-12-30,Closed,2
10285,3,5,2017-12-03,200,2017-12-23,2017-12-23,Closed,2
10286,3,5,2017-11-19,200,2017-12-13,2017-12-16,Closed,4
10287,3,5,2017-11-05,200,2017-11-22,2017-11-23,Closed,4
10288,3,5,2017-10-22,100,2017-11-03,2017-11-07,Closed,1
10289,3,5,2017-10-08,500,2017-10-21,2017-10-19,Closed,2
10290,4,5,2017-12-17,100,2018-01-01,2018-01-03,Closed,3
10291,4,5,2017-12-03,200,2017-12-22,2017-12-21,Closed,1
10292,4,5,2017-11-19,200,2017-12-13,2017-12-17,Closed,3
10293,4,5,2017-11-05,200,2017-11-16,2017-11-18,Closed,3
10294,4,5,2017-10-22,100,2017-11-05,2017-11-05,Closed,4
10295,4,5,2017-10-08,200,2017-10-25,2017-10-23,Closed,3
10296,4,5,2017-12-26,500,2018-01-13,,Open,2
10297,5,5,2017-12-17,1000,2018-01-04,2018-01-05,Closed,4
10298,5,5,2017-12-03,100,2017-12-15,2017-12-16,Closed,2
10299,5,5,2017-11-19,200,2017-12-02,2017-11-30,Closed,3
10300,5,5,2017-11-05,500,2017-11-26,2017-11-26,Closed,4
10301,5,5,2017-10-22,200,2017-11-05,2017-11-05,Closed,4
10302,5,5,2017-10-08,1000,2017-10-23,2017-10-21,Closed,3
10303,5,5,2017-12-23,500,2018-01-15,,Open,2
10304,6,5,2017-12-17,1000,2018-01-06,2018-01-05,Closed,3
10305,6,5,2017-12-03,1000,2017-12-19,2017-12-23,Closed,4
10306,6,5,2017-11-19,200,2017-12-01,2017-12-03,Closed,1
10307,6,5,2017-11-05,200,2017-11-29,2017-11-28,Closed,3
10308,6,5,2017-10-22,1000,2017-11-06,2017-11-09,Closed,2
10309,6,5,2017-10-08,500,2017-10-18,2017-10-21,Closed,3
10310,7,5,2017-12-17,1000,2018-01-08,2018-01-08,Closed,3
10311,7,5,2017-12-03,200,2017-12-25,2017-12-25,Closed,1
10312,7,5,2017-11-19,1000,2017-12-05,2017-12-04,Closed,3
10313,7,5,2017-11-05,1000,2017-11-25,2017-11-26,Closed,1
10314,7,5,2017-10-22,1000,2017-11-13,2017-11-11,Closed,1
10315,7,5,2017-10-08,1000,2017-10-28,2017-10-26,Closed,3
10316,7,5,2017-12-24,200,2018-01-06,,Open,4
10317,8,5,2017-12-17,500,2017-12-31,2018-01-04,Closed,1
10318,8,5,2017-12-03,200,2017-12-16,2017-12-15,Closed,2
10319,8,5,2017-11-19,1000,2017-12-11,2017-12-11,Closed,2
10320,8,5,2017-11-05,500,2017-11-18,2017-11-21,Closed,2
10321,8,5,2017-10-22,200,2017-11-05,2017-11-07,Closed,1
10322,8,5,2017-10-08,1000,2017-10-29,2017-10-27,Closed,3
10323,8,5,2017-12-24,200,2018-01-15,,Open,1
10324,9,5,2017-12-17,500,2018-01-02,2017-12-31,Closed,1
10325,9,5,2017-12-03,1000,2017-12-16,2017-12-19,Closed,4
10326,9,5,2017-11-19,500,2017-12-01,2017-12-05,Closed,2
10327,9,5,2017-11-05,100,2017-11-16,2017-11-15,Closed,2
10328,9,5,2017-10-22,1000,2017-11-03,2017-11-07,Closed,3
10329,9,5,2017-10-08,500,2017-10-21,2017-10-19,Closed,3
10330,9,5,2017-12-26,500,2018-01-14,,Open,3
10331,10,5,2017-12-17,200,2018-01-10,2018-01-09,Closed,1
10332,10,5,2017-12-03,100,2017-12-17,2017-12-15,Closed,1
10333,10,5,2017-11-19,500,2017-12-12,2017-12-13,Closed,1
10334,10,5,2017-11-05,100,2017-11-25,2017-11-26,Closed,3
10335,10,5,2017-10-22,500,2017-11-02,2017-11-06,Closed,3
10336,10,5,2017-10-08,200,2017-10-19,2017-10-22,Closed,3
10337,1,6,2017-12-17,200,2018-01-09,2018-01-07,Closed,2
10338,1,6,2017-12-03,200,2017-12-27,2017-12-27,Closed,3
10339,1,6,2017-11-19,200,2017-12-11,2017-12-15,Closed,2
10340,1,6,2017-11-05,1000,2017-11-17,2017-11-17,Closed,2
10341,1,6,2017-10-22,500,2017-11-09,2017-11-11,Closed,4
10342,1,6,2017-10-08,100,2017-10-29,2017-10-28,Closed,3
10343,2,6,2017-12-17,100,2017-12-28,2017-12-26,Closed,1
10344,2,6,2017-12-03,1000,2017-12-20,2017-12-21,Closed,3
10345,2,6,2017-11-19,500,2017-12-08,2017-12-10,Closed,4
10346,2,6,2017-11-05,500,2017-11-28,2017-11-30,Closed,4
10347,2,6,2017-10-22,100,2017-11-03,2017-11-06,Closed,1
10348,2,6,2017-10-08,500,2017-10-25,2017-10-23,Closed,1
10349,2,6,2017-12-27,200,2018-01-15,,Open,1
10350,3,6,2017-12-17,100,2018-01-04,2018-01-03,Closed,3
10351,3,6,2017-12-03,1000,2017-12-21,2017-12-25,Closed,3
10352,3,6,2017-11-19,200,2017-12-04,2017-12-08,Closed,1
10353,3,6,2017-11-05,1000,2017-11-17,2017-11-15,Closed,2
10354,3,6,2017-10-22,100,2017-11-11,2017-11-09,Closed,2
10355,3,6,2017-10-08,1000,2017-10-22,2017-10-20,Closed,1
10356,3,6,2017-12-27,200,2018-01-20,,Open,1
10357,4,6,2017-12-17,200,2017-12-29,2017-12-29,Closed,2
10358,4,6,2017-12-03,200,2017-12-19,2017-12-23,Closed,2
10359,4,6,2017-11-19,1000,2017-12-01,2017-12-05,Closed,1
10360,4,6,2017-11-05,500,2017-11-19,2017-11-20,Closed,2
10361,4,6,2017-10-22,1000,2017-11-08,2017-11-11,Closed,1
10362,4,6,2017-10-08,200,2017-10-29,2017-11-02,Closed,3
10363,4,6,2017-12-30,500,2018-01-14,,Open,2
10364,5,6,2017-12-17,200,2018-01-10,2018-01-09,Closed,2
10365,5,6,2017-12-03,100,2017-12-19,2017-12-22,Closed,1
10366,5,6,2017-11-19,100,2017-11-29,2017-12-01,Closed,3
10367,5,6,2017-11-05,100,2017-11-26,2017-11-30,Closed,4
10368,5,6,2017-10-22,1000,2017-11-12,2017-11-13,Closed,2
10369,5,6,2017-10-08,100,2017-10-24,2017-10-22,Closed,2
10370,6,6,2017-12-17,200,2018-01-08,2018-01-10,Closed,1
10371,6,6,2017-12-03,500,2017-12-15,2017-12-19,Closed,1
10372,6,6,2017-11-19,200,2017-11-29,2017-11-27,Closed,1
10373,6,6,2017-11-05,200,2017-11-17,2017-11-18,Closed,4
10374,6,6,2017-10-22,1000,2017-11-04,2017-11-05,Closed,4
10375,6,6,2017-10-08,200,2017-10-25,2017-10-27,Closed,2
10376,6,6,2017-12-22,200,2018-01-01,,Open,1
10377,7,6,2017-12-17,200,2017-12-28,2017-12-31,Closed,3
10378,7,6,2017-12-03,500,2017-12-17,2017-12-21,Closed,1
10379,7,6,2017-11-19,100,2017-12-12,2017-12-13,Closed,1
10380,7,6,2017-11-05,100,2017-11-21,2017-11-19,Closed,1
10381,7,6,2017-10-22,200,2017-11-15,2017-11-16,Closed,3
10382,7,6,2017-10-08,200,2017-10-20,2017-10-23,Closed,1
10383,7,6,2017-12-28,500,2018-01-14,,Open,3
10384,8,6,2017-12-17,500,2018-01-07,2018-01-10,Closed,4
10385,8,6,2017-12-03,100,2017-12-23,2017-12-26,Closed,3
10386,8,6,2017-11-19,1000,2017-11-30,2017-11-30,Closed,2
10387,8,6,2017-11-05,1000,2017-11-21,2017-11-24,Closed,4
10388,8,6,2017-10-22,100,2017-11-07,2017-11-09,Closed,4
10389,8,6,2017-10-08,1000,2017-10-19,2017-10-23,Closed,4
10390,8,6,2017-12-23,500,2018-01-06,,Open,3
10391,9,6,2017-12-17,1000,2018-01-01,2018-01-02,Closed,1
